-75.134 -75.115 -75.076 -75.029 -74.968 -74.899 -74.846 -74.842 -74.877 -74.920 -74.986 -75.065 -75.107 -75.124 -75.139 -75.208 -75.294 -75.340 -75.324 -75.251 -75.177 -75.128 -75.102 -75.065 -75.024 -74.981 -74.926 -74.901 -74.897 -74.856 -74.861 -74.870 -74.872 -74.877 -74.808 -74.670 -74.529
-75.398 -75.386 -75.328 -75.294 -75.268 -75.228 -75.177 -75.141 -75.163 -75.205 -75.251 -75.328 -75.371 -75.388 -75.412 -75.495 -75.607 -75.651 -75.631 -75.565 -75.492 -75.443 -75.413 -75.379 -75.312 -75.228 -75.140 -75.080 -75.111 -75.101 -75.088 -75.081 -75.062 -75.098 -75.055 -74.919 -74.766
-75.680 -75.671 -75.612 -75.561 -75.529 -75.512 -75.498 -75.470 -75.476 -75.520 -75.562 -75.634 -75.688 -75.716 -75.773 -75.855 -75.941 -75.987 -75.975 -75.928 -75.871 -75.821 -75.776 -75.726 -75.633 -75.537 -75.451 -75.324 -75.345 -75.424 -75.450 -75.448 -75.391 -75.378 -75.334 -75.199 -75.019
-75.979 -75.974 -75.937 -75.871 -75.808 -75.785 -75.794 -75.801 -75.808 -75.856 -75.931 -76.019 -76.093 -76.131 -76.189 -76.265 -76.318 -76.350 -76.354 -76.334 -76.299 -76.238 -76.171 -76.099 -76.009 -75.902 -75.828 -75.748 -75.736 -75.782 -75.795 -75.798 -75.739 -75.680 -75.612 -75.469 -75.286
-76.267 -76.280 -76.258 -76.196 -76.114 -76.082 -76.104 -76.150 -76.198 -76.239 -76.317 -76.422 -76.514 -76.573 -76.627 -76.685 -76.716 -76.729 -76.740 -76.738 -76.730 -76.679 -76.595 -76.500 -76.425 -76.337 -76.262 -76.213 -76.151 -76.120 -76.084 -76.050 -76.008 -75.947 -75.852 -75.705 -75.522
-76.527 -76.552 -76.557 -76.536 -76.467 -76.432 -76.456 -76.509 -76.588 -76.663 -76.742 -76.835 -76.930 -77.000 -77.057 -77.100 -77.128 -77.137 -77.151 -77.157 -77.160 -77.123 -77.043 -76.940 -76.849 -76.790 -76.720 -76.641 -76.526 -76.426 -76.337 -76.261 -76.196 -76.129 -76.038 -75.895 -75.685
-76.762 -76.796 -76.829 -76.838 -76.805 -76.796 -76.835 -76.905 -76.987 -77.088 -77.186 -77.265 -77.360 -77.430 -77.491 -77.533 -77.563 -77.567 -77.576 -77.588 -77.588 -77.562 -77.495 -77.415 -77.323 -77.255 -77.161 -77.040 -76.871 -76.678 -76.537 -76.445 -76.340 -76.269 -76.218 -76.057 -75.796
-77.041 -77.069 -77.115 -77.146 -77.160 -77.198 -77.256 -77.339 -77.430 -77.524 -77.629 -77.708 -77.791 -77.859 -77.926 -77.974 -78.014 -78.037 -78.041 -78.047 -78.041 -78.022 -77.962 -77.886 -77.795 -77.708 -77.594 -77.441 -77.241 -77.018 -76.815 -76.653 -76.532 -76.445 -76.390 -76.268 -76.072
-77.332 -77.343 -77.382 -77.444 -77.503 -77.560 -77.636 -77.712 -77.809 -77.906 -78.021 -78.134 -78.222 -78.296 -78.360 -78.419 -78.473 -78.515 -78.524 -78.524 -78.521 -78.505 -78.452 -78.376 -78.271 -78.152 -78.008 -77.837 -77.652 -77.431 -77.130 -76.863 -76.743 -76.649 -76.585 -76.526 -76.415
-77.645 -77.660 -77.689 -77.749 -77.820 -77.868 -77.959 -78.058 -78.161 -78.254 -78.386 -78.545 -78.645 -78.716 -78.775 -78.855 -78.927 -78.989 -79.020 -79.015 -79.007 -78.994 -78.950 -78.853 -78.719 -78.579 -78.428 -78.264 -78.102 -77.879 -77.552 -77.236 -77.034 -76.889 -76.838 -76.819 -76.747
-77.960 -77.951 -77.982 -78.041 -78.110 -78.170 -78.265 -78.376 -78.463 -78.557 -78.749 -78.991 -79.122 -79.195 -79.248 -79.321 -79.398 -79.464 -79.511 -79.518 -79.497 -79.471 -79.434 -79.340 -79.189 -79.016 -78.855 -78.689 -78.529 -78.305 -77.993 -77.647 -77.343 -77.130 -77.043 -77.032 -76.999
-78.294 -78.284 -78.311 -78.364 -78.416 -78.482 -78.576 -78.692 -78.797 -78.937 -79.168 -79.430 -79.588 -79.683 -79.746 -79.804 -79.885 -79.952 -79.995 -80.012 -79.992 -79.957 -79.901 -79.793 -79.640 -79.454 -79.284 -79.108 -78.932 -78.679 -78.342 -77.971 -77.627 -77.385 -77.248 -77.201 -77.142
-78.659 -78.692 -78.717 -78.754 -78.801 -78.850 -78.916 -79.037 -79.196 -79.402 -79.643 -79.885 -80.060 -80.180 -80.268 -80.332 -80.400 -80.454 -80.492 -80.500 -80.468 -80.428 -80.368 -80.248 -80.085 -79.893 -79.697 -79.495 -79.281 -78.998 -78.653 -78.277 -77.936 -77.671 -77.483 -77.370 -77.263
-79.058 -79.101 -79.160 -79.213 -79.260 -79.304 -79.376 -79.514 -79.694 -79.895 -80.111 -80.330 -80.511 -80.656 -80.779 -80.872 -80.940 -80.973 -80.989 -80.992 -80.967 -80.905 -80.813 -80.673 -80.507 -80.314 -80.098 -79.883 -79.622 -79.311 -78.948 -78.560 -78.260 -77.987 -77.751 -77.596 -77.458
-79.502 -79.531 -79.604 -79.675 -79.719 -79.774 -79.880 -80.037 -80.217 -80.396 -80.583 -80.777 -80.964 -81.138 -81.284 -81.383 -81.453 -81.489 -81.491 -81.477 -81.447 -81.377 -81.261 -81.093 -80.920 -80.724 -80.488 -80.246 -79.961 -79.628 -79.244 -78.876 -78.598 -78.299 -78.043 -77.886 -77.756
-80.012 -80.010 -80.051 -80.142 -80.202 -80.257 -80.362 -80.521 -80.699 -80.871 -81.039 -81.218 -81.402 -81.569 -81.725 -81.850 -81.922 -81.952 -81.959 -81.954 -81.921 -81.835 -81.697 -81.516 -81.311 -81.101 -80.881 -80.623 -80.330 -79.963 -79.535 -79.192 -78.901 -78.601 -78.374 -78.226 -78.149
-80.558 -80.524 -80.521 -80.583 -80.668 -80.750 -80.835 -80.973 -81.136 -81.302 -81.474 -81.654 -81.843 -82.010 -82.141 -82.234 -82.313 -82.375 -82.400 -82.390 -82.348 -82.256 -82.112 -81.931 -81.694 -81.458 -81.250 -80.983 -80.682 -80.312 -79.895 -79.543 -79.191 -78.893 -78.709 -78.615 -78.612
